Model,Test Accuracy,Balanced Accuracy,Macro F1
Decision Tree,0.7188219052001841,0.6850141718899159,0.6751837544371607
Random Forest,0.7611596870685688,0.7192913706586374,0.7198840303884119
Gradient Boosting,0.7646878355576009,0.7177984247731387,0.7220475748350064
Support Vector Machine,0.7399907961343765,0.6353753222451312,0.6523842091593419
K-Nearest Neighbors,0.6872219665592882,0.5953914983436921,0.6006066877099226
MLP Classifier,0.7274121797821752,0.675971531829095,0.6784817377116055
ELM Classifier,0.7289461573861021,0.6300445009625326,0.6448188122196611
